short_name,long_name,player_positions,overall,position,nationality
N. Olij,Nick Olij,GK,77,SUB,Netherlands
Choi Chi Ung,Chi-ung Choi최치웅,ST,51,RES,Korea Republic
L. Vigouroux,Lawrence Ian Vigouroux,GK,71,GK,Chile
K. Majekodunmi,Kaelan Andrew Moore Majekodunmi,CB,56,LCB,Australia
M. Anderson,Markus Adeniyi Anderson Adedeji,"LW, LM",50,RES,United States
T. Krishna,Tejas Krishna,"LB, CB, RB, LM",49,LB,India
E. Sutcliffe,Ethan Sutcliffe,CB,52,RES,England
Han Sang Gyu,Sang-kyu Han한상규,CB,53,RES,Korea Republic
Arnau Tenas,Arnau Tenas Ureña,GK,74,SUB,Spain
Kim Min Ho,Min Ho Kim,"RB, RM",51,RES,Korea Republic
F. Iacovich,Fabricio Iacovich,GK,67,SUB,Argentina
D. Ospina,David Ospina Ramírez,GK,76,GK,Colombia
R. Bürki,Roman Bürki,GK,77,GK,Switzerland
R. Sallinger,Raphael Lukas Sallinger,GK,70,SUB,Austria
G. Castellón,Gabriel Jesús Castellón Velázquez,GK,72,GK,Chile
A. AL Khaibari,Abdulrahman AL Khaibari,"RB, RM",52,SUB,Saudi Arabia
Wang Haobin,Haobin Wang,"LW, LM",47,RES,China PR
M. Al Dawsari,Mohammed Al Dawsari,CB,54,SUB,Saudi Arabia
Wang Hanlong,Wang HanlongMarcel Petrov 王汉龙,ST,50,RES,China PR
J. Rentería,Jhon Alexander Rentería Arias,ST,50,RES,Colombia
Lee Chang Woo,Chang-woo Lee이창우,"RB, RM",51,RES,Korea Republic
B. Clemmensen,Benjamin Clemmensen,CB,53,RES,Denmark
M. Kuzucu,Mehmet Kuzucu,"LM, RM, LW",51,RES,Türkiye
T. Wellenreuther,Timon Janis Wellenreuther,GK,76,GK,Germany
M. Salah,Mohammed Salah,"LB, LW, LM",51,SUB,India
T. Kaminski,Thomas Kaminski,GK,74,GK,Belgium
Túlio Changas,Túlio Sebastião Changas Tramontino,GK,72,SUB,Brazil
Q. Ezimet,Ezimet Qeyser艾孜买提·凯萨尔,"RW, RM",48,RES,China PR
P. Gollini,Pierluigi Gollini,GK,74,SUB,Italy
B. Hinchliffe,Ben Hinchliffe,GK,64,SUB,England
Cho Young Kwang,Young-kwang Cho조영광,"RB, RM",49,RES,Korea Republic
Jin Si Woo,Si-woo Jin진시우,CB,55,LCB,Korea Republic
Álvaro Augusto,Álvaro Ribeiro de Brito Augusto,CB,56,SUB,Brazil
M. Pfister,Max Pfister,CB,55,RES,Germany
Jeon Yong Jun,Yong-jun Jeon전용준,"RW, RM",49,RES,Korea Republic
F. Dahmen,Finn Gilbert Dahmen,GK,77,GK,Germany
J. Smits,Joshua Gerardus Petrus Wilhelmus Smits,GK,66,SUB,Netherlands
A. Al Hudaybi,Ammar Al Hudaybi,"RB, RM",48,SUB,Saudi Arabia
R. Ramírez,Roberto Fabián Ramírez,GK,70,SUB,Argentina
N. Pintus,Nicola Pintus,CB,58,SUB,Italy
M. Badreldin,Marwan Sherif Elsayed Mohamed Badreldinمروان شريف,GK,62,,Qatar
T. Singh,Huidrom Thoi Singh,"LW, RW, RM, LM",50,SUB,India
S. Johnstone,Samuel Luke Johnstone,GK,76,SUB,England
L. Mpasi,Lionel M'Pasi N'Zau,GK,67,SUB,Congo DR
M. Etherington,Marcus Etherington,CB,51,RES,England
Li Biao,Biao Li,"RM, RW",49,RES,China PR
C. Dawson,Cameron Miles Dawson,GK,66,GK,England
M. Kovalevskis,Max Kovalevskis,"RW, RM",51,SUB,Republic of Ireland
B. Verbruggen,Bart Verbruggen,GK,78,GK,Netherlands
Jesús Ruiz,Jesús Ruiz Suárez,GK,71,SUB,Spain
Caro,José Antonio Caro Diaz,GK,72,RES,Spain
G. Zelarayán,Gonzalo Nicolás Zelarayán,ST,50,RES,Argentina
S. Dimitrievski,Stole DimitrievskiСтоле Димитриевски,GK,79,SUB,North Macedonia
Fan Shuangjie,Fan Shuangjie范双杰,"CB, CDM",51,RES,China PR
E. Andrada,Esteban Maximiliano Andrada,GK,72,RES,Argentina
Hu Tao,Tao Hu,"RW, RM",48,RES,China PR
B. Özer,Berke Özer,GK,77,GK,Türkiye
M. Dyngeland,Mathias Lønne Dyngeland,GK,70,GK,Norway
M. Molla,Monirul Molla,ST,50,SUB,India
R. Zentner,Robin Zentner,GK,78,GK,Germany
P. Croker,Phil Croker,CB,53,SUB,England
P. Izzo,Paul David Izzo,GK,70,SUB,Australia
Choi Won Chang,Won-chang Choi최원창,CB,53,SUB,Korea Republic
J. Espínola,Juan Ángel Espínola González,GK,71,GK,Paraguay
D. Iversen,Daniel Lønne Iversen,GK,70,GK,Denmark
Y. Casermeiro,Yuri Casermeiro,CB,58,RES,Argentina
Yang Cong,Yang Cong杨聪,"RW, RM",48,RES,China PR
Adrián,Adrián San Miguel del Castillo,GK,73,RES,Spain
M. Bell,Matthew Bell,ST,51,RES,Jamaica
S. Šapić,Stefan ŠapićСтефан Шапић,CB,56,RCB,Serbia
R. Allsop,Ryan Allsop,GK,68,GK,England
S. Banerjee,Sayan Banerjee,"LM, LW, RM",49,RES,India
F. Jörgensen,Filip Jørgensen,GK,77,SUB,Denmark
Joel Pereira,Joel Dinis Castro Pereira,GK,68,GK,Portugal
Dai Jinyu,Dai Jinyu戴金宇,"RB, RM",51,RES,China PR
J. Naafo,Jonas Naafo,ST,53,SUB,United Arab Emirates
B. Van Dorssen,Ben Van Dorssen,CB,52,SUB,Australia
L. Lalbiaknia,Lalrinzuala Lalbiaknia,ST,50,RES,India
A. Sipić,Adem Sipić,ST,50,RES,United States
Fernando,Fernando Martínez Rubio,GK,72,SUB,Spain
M. Perin,Mattia Perin,GK,78,SUB,Italy
Kang Min Jae,Min-jae Kang강민재,ST,50,RES,Korea Republic
P. Gallese,Pedro David Gallese Quiroz,GK,72,GK,Peru
J. Musso,Juan Agustín Musso,GK,79,SUB,Argentina
M. Alexander-Walker,Moses Alexander-Walker,ST,51,RES,England
B. Varghese,Bijoy Varghese,CB,54,RCB,India
P. Chaudhari,Pratik Prabhakar Chowdhary,CB,57,RCB,India
A. Gunn,Angus Fraser James Gunn,GK,72,SUB,Scotland
A. Lafont,Alban Lafont,GK,75,SUB,Côte d'Ivoire
He Xiaoke,He Xiaoke何小珂,"LM, RM, LW",47,RES,China PR
E. Weaver,Ernie Weaver,CB,52,SUB,England
M. Vandevoordt,Maarten Vandevoordt,GK,76,SUB,Belgium
Ł. Skorupski,Łukasz Skorupski,GK,79,GK,Poland
M. Crépeau,Maxime Crépeau,GK,69,GK,Canada
Ø. Nyland,Ørjan Håskjold Nyland,GK,76,GK,Norway
B. Drągowski,Bartłomiej Drągowski,GK,76,GK,Poland
M. Saheef,Muhammed Saheef,"LB, CB, RB, LM",50,SUB,India
H. Shillington,Harrison Thomas Shillington,"RB, RM",50,SUB,Australia
D. Valkanis,Dimitri Valkanis,CB,51,RES,Australia
F. Cambeses,Facundo Nicolás Cambeses,GK,72,SUB,Argentina
A. Kalın,Ali Osman Kalın,ST,53,RES,Türkiye
Alfonso Herrero,Alfonso Herrero Peinador,GK,74,GK,Spain
J. Neeley,Jack Neeley,"CB, RB",56,RES,United States
Mei Shuaijun,Mei Shuaijun梅帅军,ST,48,RES,China PR
A. Popoola,Anjola Popoola,ST,51,SUB,Nigeria
A. Bass,Alexander Michael Bass,GK,64,RES,England
A. Iannarilli,Antony Iannarilli,GK,67,GK,Italy
S. Viruthiyil Santhosh,Sreekuttan Viruthiyil Santhosh,"RW, LW, ST, RM",51,RES,India
V. Radojević,Viktor Radojević,"LB, LM",49,RES,Serbia
T. Reid-Brown,Tahir Yazid Reid-Brown,"LB, LM",48,RES,United States
R. Matyar,Rohat Matyar,CB,51,RES,England
David Gil,David Gil Mohedano,GK,70,SUB,Spain
M. Rafi,Mohammed Rafi,"CB, RB, RM",53,RB,India
Zhang Zhenyang,Zhang Zhenyang张振阳,CB,53,SUB,China PR
K. Trapp,Kevin Christian Trapp,GK,81,SUB,Germany
Gang Min Seong,Min-sung Kang강민성,"LM, ST, LW",52,RES,Korea Republic
D. Kudła,Dawid Kudła,GK,68,GK,Poland
S. Singh,Sagolsem Bikash Singh,"LW, RW, ST, LM",49,ST,India
Alex Jojo,Alexander Jojo,"RB, RM",53,SUB,Hong Kong
Wang Yiwei,Wang Yiwei王逸伟,"RB, LB, RM",47,RES,China PR
J. Prior,Jérôme Prior,GK,68,GK,France
J. Lumley,Joseph Patrick Lumley,GK,70,SUB,England
I. Barrios,Ignacio Luis Barrios Hernández,GK,66,GK,Uruguay
J. Dias,Jovial Dias,"RW, RM",49,SUB,India
Kim Yun Ho,Yun-ho Kim김윤호,ST,49,RES,Korea Republic
Yang He,He Yang,ST,49,SUB,China PR
Yu Tianxiang,Yu Tianxiang余天翔,"RB, RM",49,RES,China PR
R. Mitchell,Roald Mitchell,ST,50,RES,United States
Yan Qihang,Qihang Yan,"RW, RM",48,RES,China PR
J. Smith,Joshua Jack Smith,CB,51,SUB,England
Park Su Bin,Su Bin Park,"RW, RM",50,SUB,Korea Republic
D. Horkaš,Dinko Horkaš,GK,73,GK,Croatia
Paulo Victor,Paulo Victor Mileo Vidotti,GK,75,SUB,Brazil
S. Dey,Suman Dey,"RB, RM",49,RES,India
A. Blake,Andre Jason Blake,GK,75,GK,Jamaica
M. Seiler,Mats Seiler,"CB, LB",53,SUB,Switzerland
D. Vazquez,David Vazquez,"LW, LM",49,RES,United States
S. Joshy,Soyal Joshy,"RB, RM",50,SUB,India
L. Karius,Loris Sven Karius,GK,70,GK,Germany
Hou Sen,Hou Sen侯森,GK,66,GK,China PR
A. Fulignati,Andrea Fulignati,GK,70,GK,Italy
J. Blaswich,Janis Jonathan Blaswich,GK,73,SUB,Germany
Liu Junxian,Liu Junxian刘俊贤,"ST, CM",49,SUB,China PR
K. Nordfeldt,Bo Kristoffer Nordfeldt,GK,72,GK,Sweden
Sun Zheng'ao,Sun Zheng'ao孙正傲,CB,54,RES,China PR
C. Rushworth,Carl Andrew Rushworth,GK,72,GK,England
Jeong Sang Woon,Sang-woon Jeong정상운,ST,48,RES,Korea Republic
Seo Jeong Hyeok,Jeong-hyeok Seo서정혁,"LB, LM",50,RES,Korea Republic
L. Zigi,Lawrence Ati Zigi,GK,73,GK,Ghana
Wen Zhanlin,Wen Zhanlin温展霖,"LB, LM",48,RES,China PR
Kim Ji Woon,Ji-woon Kim김지운,"RB, RM",47,RES,Korea Republic
V. Myhra,Viljar Røsholt Myhra,GK,67,RES,Norway
R. Olsen,Robin Patrick Olsen,GK,73,GK,Sweden
Simão Donatinho,Simão Alvin Donatinho Garcia,GK,75,GK,Brazil
G. Caraballo,Gustavo Andres Caraballo Delgado,"RW, LW, RM",50,RES,Venezuela
Kim Chang Hun,Chang-hoon Kim김창훈,ST,47,RES,Korea Republic
Gabriel Batista,Gabriel Batista de Souza,GK,73,GK,Brazil
C. MacGillivray,Craig Brodie MacGillivray,GK,62,GK,Scotland
Kim Hyeon Jun,Hyeon-jun Kim김현준,CB,53,SUB,Korea Republic
L. Bossin,Liam Cathal Bossin,GK,65,RES,Republic of Ireland
C. Lampe,Carlos Emilio Lampe Porras,GK,72,GK,Bolivia
L. Burney,Leo Burney,CB,55,SUB,United States
S. Pizzignacco,Semuel Pizzignacco,GK,67,SUB,Italy
T. Cardozo,Thiago Gastón Cardozo Brugman,GK,71,GK,Uruguay
W. Yarbrough,William Paul Yarbrough Story,GK,66,SUB,United States
C. Cupps,Christopher Cupps,CB,52,RES,United States
É. Mendy,Édouard Osoque Mendy,GK,80,GK,Senegal
Edgar Badia,Edgar Badia Guardiola,GK,71,GK,Spain
E. Bates,Ellis Bates,CB,52,RES,England
C. McGhee,Cole McGhee,CB,54,RES,England
Lee Chang Geun,Chang-geun Lee이창근 李灿东,GK,74,RES,Korea Republic
B. Arias,Brian Arias,CB,56,RES,Peru
Hwang Seung Jun,Seung Jun Hwang,"RB, RM",48,SUB,Korea Republic
M. Crocombe,Maxime Teremoana Crocombe,GK,65,SUB,New Zealand
G. Restes,Guillaume Restes,GK,78,GK,France
S. Moore,Simon William Moore,GK,66,RES,England
L. Hrangthankima,Laldanmawia Hrangthankima,"LB, RB, LM",49,SUB,India
G. Bazunu,Gavin Okeroghene Bazunu,GK,73,GK,Republic of Ireland
P. Fritschi,Paulo Joel Fritschi,CB,55,RES,Germany
Wang Jinglei,Jinglei Wang,"LB, LM",49,RES,China PR
He Quan,He Quan和泉,"RB, RM",48,RES,Korea Republic
Álvaro Valles,Álvaro Vallés Rosa,GK,79,GK,Spain
M. Al Rubaie,Mohammed Faraj Al Rubaie Al Yamiمحمد الربيعي اليامي,GK,62,SUB,Saudi Arabia
C. Parks,Charlie Parks,CB,51,RES,England
L. Healy,Lorcan Healy,GK,57,SUB,Republic of Ireland
Wei Minghe,Wei Minghe魏洺赫,CB,49,SUB,China PR
D. Castillo,Daniel Alexis Castillo Lavin,GK,62,SUB,Chile
Jo Sung Wook,Sung-wook Jo조성욱,CB,56,RES,Korea Republic
Tian Yuda,Tian Yuda田玉达,"ST, LM",52,SUB,China PR
K. Müller,Kevin Müller,GK,74,SUB,Germany
Kim Hyeon Deok,Hyeon-deok Kim김현덕,CB,51,RES,Korea Republic
J. Hansen,Jesper Hansen,GK,69,GK,Denmark
Liu Jiashen,Liu Jiashen刘佳燊,CB,57,SUB,China PR
B. Collins,Bradley Ray Collins,GK,66,SUB,England
M. Safonov,Matvey SafonovСафонов Матвей Евгеньевич,GK,78,SUB,Russia
Yu Zhuowei,Yu Zhuowei于卓威,ST,47,RES,China PR
M. Vargas,Miguel Angel Vargas Mañán,GK,66,SUB,Chile
J. Bond,Jonathan Henry Bond,GK,68,RES,England
Yan Junling,Yan Junling颜骏凌,GK,68,GK,China PR
A. Trubin,Anatolii TrubinТрубін Анатолій Володимирович,GK,80,GK,Ukraine
A. Vanlalrinchhana,Aron Vanlalrinchhana,"RM, RW",47,SUB,India
M. Cooper,Max Cooper,CB,52,SUB,Australia
K. Haug,Christian Kjetil Haug,GK,70,SUB,Norway
Bae Hyun Seo,Hyun-seo Bae배현서,"LB, RB, LM",49,RES,Korea Republic
L. Rakesh,Likmabam Rakesh Meitei,"LB, CB, RB, LM",51,SUB,India
T. Carson,Trevor Carson,GK,64,SUB,Northern Ireland
Sha Yibo,Sha Yibo沙一博,CB,54,RES,China PR
M. Diaw,Mory Diaw,GK,70,GK,Senegal
Shan Huanhuan,Shan Huanhuan单欢欢,ST,50,RES,China PR
A. Bodart,Arnaud Bodart,GK,73,SUB,Belgium
Peng Shunjie,Shunjie Peng,"RB, RM",47,RES,China PR
R. Boot,Ryan Thomas William Boot,GK,59,SUB,England
D. Bouzanis,Dean Anthony BouzanisΝτιν Άντονι Μπουζάνης,GK,61,SUB,Australia
Baek Seung Won,Seung-won Baek백승원,"RW, RM",48,RES,Korea Republic
F. Altamirano,Facundo Altamirano,GK,71,SUB,Argentina
A. Pabón,Wilman Adonnis Pabón Carcelén,GK,64,SUB,Ecuador
D. Bentley,Daniel Ian Bentley,GK,71,SUB,England
D. Paloschi,Dorian Paloschi,CB,54,SUB,Italy
M. Ledesma,Marcos Ignacio Ledesma,GK,70,GK,Argentina
M. Rodák,Marek Rodák,GK,74,GK,Slovakia
L. Montipò,Lorenzo Montipò,GK,76,GK,Italy
Peng Yixiang,Yixiang Peng,ST,48,RES,China PR
D. Ring,Daniel Ring,ST,48,RES,Republic of Ireland
V. Babacan,Volkan Babacan,GK,70,SUB,Türkiye
N. Bishop,Nathan James Bishop,GK,64,GK,England
Leo Román,Leonardo Román Riquelme,GK,77,GK,Spain
D. Kareem,Dare Kareem,ST,53,SUB,Nigeria
I. Meslier,Illan Stéphane Meslier,GK,72,RES,France
M. Penders,Mike Louis Penders,GK,73,GK,Belgium
Pichu Cuéllar,Iván Cuéllar Sacristán,GK,67,RES,Spain
F. De Paul,Fernando Carlos de Paul Lanciotti,GK,71,GK,Chile
E. Caprile,Elia Caprile,GK,76,GK,Italy
Kim Ji Hoon,Ji-hun Kim김지훈,CB,52,RES,Korea Republic
Choi Jun Yeong,Jun-yeong Choi최준영,"CB, CM",51,RES,Korea Republic
M. Raina,Martand Raina,CB,55,RES,India
Wang Ziteng,Wang Ziteng王子腾,"RB, RM",48,RES,China PR
M. Al Dowaish,Mohammed Ali Abdulaziz Al Dowaish,"RB, CB, RM",51,SUB,Saudi Arabia
E. Bologna,Enrique Alberto Bologna Gómez,GK,69,GK,Argentina
A. Aguilar,Alfredo Ariel Aguilar,GK,67,GK,Paraguay
S. McCarthy,Sean McCarthy,"LB, LM",50,RES,Republic of Ireland
L. Southwood,Luke Kevin Southwood,GK,65,GK,Northern Ireland
Rubén Blanco,Rubén Blanco Veiga,GK,73,SUB,Spain
A. Haraj,Amjad Haraj,"CB, RB",51,SUB,Saudi Arabia
Wang Zihao,Wang Zihao王子皓,ST,47,RES,China PR
Gabri Prestão,Bernard Gabriel Prestão Chaves,GK,79,GK,Brazil
V. Barkas,Vasilis Cornelius BarkasΒασίλειος Μπάρκας,GK,74,GK,Greece
E. Audero,Emil Audero Mulyadi,GK,78,GK,Indonesia
P. Gunnarsson,Patrik Sigurður Gunnarsson,GK,68,,Iceland
K. Kotsaris,Konstantinos KotsarisΚωνσταντίνος Κότσαρης,GK,68,RES,Greece
Lei Xi,Lei Xi雷熙,"RW, RM",47,RES,China PR
A. Paschalakis,Alexandros PaschalakisΑλέξανδρος Πασχαλάκης,GK,73,SUB,Greece
T. Horn,Timo Horn,GK,73,GK,Germany
Pierrino Faria,Pierre Tomás Torres De Faria,GK,76,GK,Brazil
H. Rabea,Hassan Ali Rabea,CB,49,SUB,Saudi Arabia
Samuel Portugal,Samuel Portugal Lima,GK,70,GK,Brazil
V. Jaroš,Vítězslav Jaroš,GK,70,GK,Czechia
J. Cumming,James Andrew Cumming,GK,69,GK,England
L. Svitek,Leon Svitek,ST,52,SUB,Germany
F. Sanchez,Facundo Martín Sánchez,CB,49,RES,Argentina
P. Ranbir,Pramveer Ranbir,CB,50,SUB,India
D. Bachmann,Daniel Bachmann,GK,68,SUB,Austria
T. Mikkelsen,Thomas Korsgaard Mikkelsen,GK,63,SUB,Denmark
A. Harper-Bailey,Aaron Harper-Bailey,CB,56,SUB,England
H. Koffi,Kouakou Hervé Koffi,GK,73,GK,Burkina Faso
Kim Eun Gyeom,Eun Gyeom Kim,"LB, LM",50,RES,Korea Republic
Zhang Aihui,Aihui Zhang,CB,49,RES,China PR
Sui Weijie,Sui Weijie隋维杰,GK,65,GK,China PR
S. Paz,Santiago Paz,GK,56,SUB,Bolivia
A. Al Nakhli,Ahmed Al Nakhli,"LB, LM",49,SUB,Saudi Arabia
I. Pettersson,Carl Isak Emanuel Pettersson,GK,67,SUB,Sweden
N. Ugrekhelidze,Nikoloz Ugrekhelidze,CB,53,SUB,Georgia
Wang Kang,Kang Wang,"LB, LM",47,SUB,China PR
S. German,Sam German,CB,51,RES,England
I. Lučić,Ivan Lučić,GK,68,SUB,Austria
T. Heaton,Thomas David Heaton,GK,67,SUB,England
O. Vlachodimos,Odysseas VlachodimosΟδυσσέας Βλαχοδήμος,GK,72,SUB,Greece
Sacramentinho,Luiz Santiago Sacramento Cruz,GK,72,SUB,Brazil
Lee Dong Hyeop,Dong-hyeop Lee이동협,"LB, LM",49,RES,Korea Republic
A. Gomis,Amigo Alfred Benjamin Junior Gomis,GK,69,SUB,Senegal
T. Weiner,Timon Moritz Weiner,GK,69,SUB,Germany
B. Jaroszek,Bartosz Jaroszek,CB,59,RES,Poland
B. Radunović,Boris RadunovićБорис Радуновић,GK,70,SUB,Serbia
Ma Haoqi,Ma Haoqi麻皓齐,"RM, RW",47,RES,China PR
Andrew,Andrew da Silva Ventura,GK,75,GK,Brazil
Wang Pengbo,Pengbo Wang,"RB, RM",48,RES,China PR
Carlos Travisso,Carlos Adilson Travisso Rocha,GK,63,SUB,Brazil
S. Tangvik,Sander Tangvik,GK,69,GK,Norway
M. Zikrulla,Memetimin Zikrulla,"RB, RM",47,RES,China PR
J. Lund,Julian Rekdahl Faye Lund,GK,66,SUB,Norway
R. Riou,Rémy Riou,GK,67,RES,France
F. Woodman,Frederick John Woodman,GK,71,RES,England
André Ferreira,André Filipe Magalhães Ribeiro Ferreira,GK,68,SUB,Portugal
Nivo Serpinho,Nivaldo Mateus Serpa Pombal,GK,73,GK,Brazil
Y. Diouf,Yehvann Diouf,GK,78,GK,Senegal
A. Zborowski,Alan Zborowski,CB,52,RES,Poland
J. Öst,Jesse Öst,GK,63,SUB,Finland
Park Ho Young,Ho-yeong Park박호영,CB,52,RES,Korea Republic
Hwang Jung Gu,Jung Gu Hwang,CB,48,RES,Korea Republic
J. Necovski,Jayden Peter Necovski,CB,51,SUB,Australia
E. James,Edward George Martin James,CB,53,RES,Wales
C. Trueman,Connal Joe Trueman,GK,62,SUB,England
S. Esposito,Sebastian Esposito,CB,50,SUB,Australia
J. Lynch,Jay Anthony Lynch,GK,61,GK,England
N. Barrie,Nathan Barrie,CB,52,SUB,Australia
L. Young,Leo Young,CB,51,RES,England
L. Thomas,Lawrence Andrew Kingsley Thomas,GK,68,GK,Australia
T. Strakosha,Thomas Fotaq StrakoshaΘωμάς Στρακόσια,GK,74,SUB,Albania
M. Silvestri,Marco Silvestri,GK,72,SUB,Italy
D. Lazar,David Beniamin Lazar,GK,65,GK,Romania
G. Gallon,Gauthier Gallon,GK,73,SUB,France
J. Smith,Jayden Smith,CB,51,SUB,New Zealand
N. O'Brien,Noah O'Brien,CB,51,RES,Republic of Ireland
Juan Soriano,Juan Soriano Oropesa,GK,75,GK,Spain
C. Glover,Caden Edward Glover,ST,50,RES,United States
Lucas França,Lucas Oliveira de França,GK,75,GK,Brazil
S. Johnson,Sean Everet Johnson,GK,68,GK,United States
T. Dähne,Thomas Dähne,GK,69,GK,Germany
Liu Tiecheng,Liu Tiecheng刘铁诚,CB,48,RES,China PR
L. Chevalier,Lucas Chevalier,GK,83,GK,France
A. Singh,Ashangbam Aphaoba Singh,"ST, RW",48,ST,India
N. Savonnier,Nelson Savonnier,CB,50,RES,Switzerland
Kim Dong Joon,Dong-jun Kim김동준,GK,68,GK,Korea Republic
A. McCarthy,Alex Simon McCarthy,GK,70,SUB,England
D. Heuer Fernandes,Daniel Heuer Fernandes,GK,74,GK,Portugal
Ș. Târnovanu,Ștefan Târnovanu,GK,72,GK,Romania
Wang Guoming,Wang Guoming王国明,GK,63,GK,China PR
A. Aguerre,Alan Joaquín Aguerre,GK,69,GK,Argentina
Diego Conde,Diego José Conde Alcolado,GK,77,SUB,Spain
M. Festa,Marco Festa,GK,68,GK,Italy
P. Terracciano,Pietro Terracciano,GK,78,SUB,Italy
Qi Qiancheng,Qiancheng Qi,CB,50,SUB,China PR
A. Patterson,Anthony Patterson,GK,73,SUB,England
Z. Boucher,Zacharie Boucher,GK,65,SUB,France
Shi Songchen,Shi Songchen史松宸,CB,50,SUB,China PR
J. Knightbridge,Jacob Christopher Knightbridge,GK,55,RES,England
P. Sisniega,Pablo Eduardo Sisniega Fink,GK,64,SUB,Mexico
Rubén Yáñez,Orlando Rubén Yáñez Alabart,GK,73,GK,Spain
J. Beadle,James Giles Beadle,GK,70,SUB,England
Fepe Limão,Felipe Melvin Azevedo Lima,GK,67,SUB,Brazil
M. Turner,Matthew Charles Turner,GK,74,SUB,United States
N. Labrović,Nediljko Labrović,GK,73,SUB,Croatia
A. Noppert,Andries Noppert,GK,68,SUB,Netherlands
F. Lanzillotta,Federico Vicente Lanzillotta,GK,70,SUB,Argentina
L. Roberts,Liam Joseph Roberts,GK,66,GK,England
R. Fernández,Roberto Júnior Fernández Torres,GK,70,SUB,Paraguay
D. Reimann,Dominik Reimann,GK,69,GK,Germany
Enzo Marteiro,Enzo Wellington Marteiro Santoso,GK,74,SUB,Brazil
Ezkieta,Jokin Ezkieta Mendiburu,GK,72,GK,Spain
L. Chichizola,Leandro Chichizola,GK,71,GK,Argentina
S. George,Shamal George,GK,63,GK,England
J. Joronen,Jesse Pekka Joronen,GK,69,GK,Finland
J. Torquato,Joshua Torquato,"LB, LM",48,RES,United States
T. Savin,Toby Savin,GK,61,RES,England
K. Mboma Dem,Kenji Mboma Dem,"ST, RW, CAM",49,RES,France
R. O'Donnell,Richard Mark O'Donnell,GK,62,RES,England
S. Cleveland,Stefan Daniel Cleveland,GK,64,SUB,United States
L. Temple,Lewis Temple,CB,56,SUB,Republic of Ireland
B. Stuver,Bradley Stuver,GK,69,GK,United States
C. Ortag,Christian Ortag,GK,67,GK,Germany
M. Travers,Mark Travers,GK,72,SUB,Republic of Ireland
A. Saidi,Anisse Saidiأنيس السعيدي,ST,48,RES,Tunisia
E. Centurión,Ezequiel Ignacio Centurión,GK,72,GK,Argentina
N. Atubolu,Noah Atubolu,GK,77,GK,Germany
A. Schlager,Alexander Schlager,GK,73,GK,Austria
J. Devecchi,José Antonio Devecchi,GK,70,SUB,Argentina
W. Norris,William James Norris,GK,67,SUB,England
F. Gebhardt,Felix Karl-Ernst Gebhardt,GK,68,GK,Germany
Pedro López,Pedro López Galisteo,GK,65,GK,Spain
G. Singh,Gursimrat Singh Gill,"CB, CM, RB",52,RES,India
H. Moldovan,Horațiu Alexandru Moldovan,GK,71,SUB,Romania
P. Köhn,Philipp François Köhn,GK,77,SUB,Switzerland
L. Hrádecký,Lukáš Hrádecký,GK,81,GK,Finland
F. Bednarek,Filip Bednarek,GK,65,SUB,Poland
R. Zieler,Ron-Robert Zieler,GK,75,SUB,Germany
M. Maroši,Marko Maroši,GK,65,GK,Slovakia
E. Gertmonas,Edvinas Gertmonas,GK,68,SUB,Lithuania
Victor Braga,Victor Hugo Silva Braga,GK,70,GK,Brazil
J. Calderón,Aamet José Guillermo Calderón Tello,GK,61,SUB,Peru
B. Guzan,Bradley Edwin Guzan,GK,68,GK,United States
S. Frei,Stefan Frei,GK,72,GK,United States
D. Ward,Daniel Ward,GK,70,GK,Wales
K. Johnsson,Karl-Johan Anton Johnsson,GK,69,SUB,Sweden
J. Frick,Jérémy Frick,GK,70,SUB,Switzerland
J. Willis,Joe Willis,GK,69,GK,United States
K. Joelsson,Julius Kalle Joelsson,GK,63,SUB,Sweden
Marcelo Grohe,Marcelo Grohe,GK,75,GK,Brazil
G. Siri,Gonzalo Siri Payer,GK,62,SUB,Argentina
A. Ramula,Alex Ramula,GK,56,RES,Finland
Raúl Fernández,Raúl Fernández Cavada Mateos,GK,72,SUB,Spain
L. Lavagnino,Lucas Ignacio Lavagnino,GK,64,SUB,Argentina
M. Samassa,Mamadou Samassa,GK,72,GK,Mali
Ricardo Batista,Ricardo Jorge Cecília Batista,GK,71,RES,Angola
S. Kapino,Stefanos KapinoΣτέφανος Καπίνο,GK,68,GK,Greece
J. Peñarrieta,José Feliciano Peñarrieta Flores,GK,63,GK,Bolivia
Jo Hyeon Woo,Hyeon-woo Jo조현우 崔永宇,GK,75,GK,Korea Republic
A. Lunin,Andriy LuninЛунін Андрій Олексійович,GK,81,SUB,Ukraine
F. Bonansea,Federico Bonansea,GK,64,SUB,Argentina
J. Broun,Jorge Emanuel Broun,GK,73,GK,Argentina
Germán Parreño,Germán Parreño Boix,GK,66,GK,Spain
H. Jurjus,Hidde Jurjus,GK,66,SUB,Netherlands
M. Tagliamonte,Matías Nicolás Tagliamonte,GK,68,GK,Argentina
P. Bråtveit,Per Kristian Worre Bråtveit,GK,68,GK,Norway
R. Majecki,Radosław Majecki,GK,77,GK,Poland
H. Verhulst,Hobie Verhulst,GK,65,SUB,Netherlands
B. Wilson,Ben Wilson,GK,68,SUB,England
J. Day,Joseph David Day,GK,60,GK,England
M. Gersbeck,Marius Gersbeck,GK,68,RES,Germany
